FID_;DESA;KECAMATAN;KABUPATEN;PROPINSI;LUAS;MI_PRINX
;Ngaru-aru;Banyudono;Boyolali;Jawa Tengah;1.468.300.000.000.000;19.341.000.000.000.000.000
;Bendan;Banyudono;Boyolali;Jawa Tengah;0.822100000000000;19.342.000.000.000.000.000
;Ketaon;Banyudono;Boyolali;Jawa Tengah;1.600.300.000.000.000;19.343.000.000.000.000.000
;Banyudono;Banyudono;Boyolali;Jawa Tengah;1.392.700.000.000.000;19.344.000.000.000.000.000
;Batan;Banyudono;Boyolali;Jawa Tengah;1.943.500.000.000.000;19.345.000.000.000.000.000
;Denggungan;Banyudono;Boyolali;Jawa Tengah;2.649.300.000.000.000;19.346.000.000.000.000.000
;Bangak;Banyudono;Boyolali;Jawa Tengah;2.464.700.000.000.000;19.347.000.000.000.000.000
;Trayu;Banyudono;Boyolali;Jawa Tengah;2.098.100.000.000.000;19.348.000.000.000.000.000
;Tanjung Sari;Banyudono;Boyolali;Jawa Tengah;1.776.700.000.000.000;19.349.000.000.000.000.000
;Glintang;Sambi;Boyolali;Jawa Tengah;1.809.900.000.000.000;19.350.000.000.000.000.000
;Jatisari;Sambi;Boyolali;Jawa Tengah;3.371.000.000.000.000;19.351.000.000.000.000.000
;Canden;Sambi;Boyolali;Jawa Tengah;5.099.900.000.000.000;19.352.000.000.000.000.000
;Senting;Sambi;Boyolali;Jawa Tengah;2.152.400.000.000.000;19.353.000.000.000.000.000
;Tempursari;Sambi;Boyolali;Jawa Tengah;2.080.100.000.000.000;19.354.000.000.000.000.000
;Sambi;Sambi;Boyolali;Jawa Tengah;2.763.500.000.000.000;19.355.000.000.000.000.000
;Demangan;Sambi;Boyolali;Jawa Tengah;2.740.900.000.000.000;19.356.000.000.000.000.000
;Kepoh;Sambi;Boyolali;Jawa Tengah;2.776.500.000.000.000;19.357.000.000.000.000.000
;Jagoan;Sambi;Boyolali;Jawa Tengah;3.512.200.000.000.000;19.358.000.000.000.000.000
;Babadan;Sambi;Boyolali;Jawa Tengah;2.976.000.000.000.000;19.359.000.000.000.000.000
;Tawengan;Sambi;Boyolali;Jawa Tengah;2.379.700.000.000.000;19.360.000.000.000.000.000
;Catur;Sambi;Boyolali;Jawa Tengah;0.770200000000000;19.361.000.000.000.000.000
;Ngaglik;Sambi;Boyolali;Jawa Tengah;3.188.300.000.000.000;19.362.000.000.000.000.000
;Trosobo;Sambi;Boyolali;Jawa Tengah;2.656.600.000.000.000;19.363.000.000.000.000.000
;Cermo;Sambi;Boyolali;Jawa Tengah;2.487.600.000.000.000;19.364.000.000.000.000.000
;Nglembu;Sambi;Boyolali;Jawa Tengah;2.921.200.000.000.000;19.365.000.000.000.000.000
;Ngargorejo;Ngemplak;Boyolali;Jawa Tengah;3.358.700.000.000.000;19.366.000.000.000.000.000
;Sobokerto;Ngemplak;Boyolali;Jawa Tengah;4.283.900.000.000.000;19.367.000.000.000.000.000
;Ngersep;Ngemplak;Boyolali;Jawa Tengah;4.258.100.000.000.000;19.368.000.000.000.000.000
;Gagaksipat;Ngemplak;Boyolali;Jawa Tengah;3.509.100.000.000.000;19.369.000.000.000.000.000
;Donohudan;Ngemplak;Boyolali;Jawa Tengah;2.326.900.000.000.000;19.370.000.000.000.000.000
;Sawahan;Ngemplak;Boyolali;Jawa Tengah;0.737500000000000;19.371.000.000.000.000.000
;Pandeyan;Ngemplak;Boyolali;Jawa Tengah;2.174.300.000.000.000;19.372.000.000.000.000.000
;Tlogo Lele;Selo;Boyolali;Jawa Tengah;10.748.900.000.000.000;19.220.000.000.000.000.000
;Klakah;Selo;Boyolali;Jawa Tengah;3.702.300.000.000.000;19.221.000.000.000.000.000
;Jrakah;Selo;Boyolali;Jawa Tengah;4.975.700.000.000.000;19.222.000.000.000.000.000
;Lencoh;Selo;Boyolali;Jawa Tengah;3.092.700.000.000.000;19.223.000.000.000.000.000
;Suroteleng;Selo;Boyolali;Jawa Tengah;3.770.900.000.000.000;19.224.000.000.000.000.000
;Samiran;Selo;Boyolali;Jawa Tengah;5.396.500.000.000.000;19.225.000.000.000.000.000
;Selo;Selo;Boyolali;Jawa Tengah;4.897.700.000.000.000;19.226.000.000.000.000.000
;Taru Batang;Selo;Boyolali;Jawa Tengah;3.740.100.000.000.000;19.227.000.000.000.000.000
;Senden;Selo;Boyolali;Jawa Tengah;3.927.700.000.000.000;19.228.000.000.000.000.000
;Kismoyoso;Ngemplak;Boyolali;Jawa Tengah;3.781.200.000.000.000;19.373.000.000.000.000.000
;Dibal;Ngemplak;Boyolali;Jawa Tengah;2.398.900.000.000.000;19.374.000.000.000.000.000
;Sindon;Ngemplak;Boyolali;Jawa Tengah;1.047.700.000.000.000;19.375.000.000.000.000.000
;Manggung;Ngemplak;Boyolali;Jawa Tengah;1.239.900.000.000.000;19.376.000.000.000.000.000
;Giriroto;Ngemplak;Boyolali;Jawa Tengah;1.334.600.000.000.000;19.377.000.000.000.000.000
;Waduk Cengklik;Ngemplak;Boyolali;Jawa Tengah;1.455.600.000.000.000;19.378.000.000.000.000.000
;Kenteng;Nogosari;Boyolali;Jawa Tengah;1.719.500.000.000.000;19.379.000.000.000.000.000
;Potronayan;Nogosari;Boyolali;Jawa Tengah;4.449.000.000.000.000;19.380.000.000.000.000.000
;Sembungan;Nogosari;Boyolali;Jawa Tengah;1.974.500.000.000.000;19.381.000.000.000.000.000
